Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,1517317508,1517317508,,,82750,Unfound
,,,,,,,1483017702,1483017702,,,8630,Unfound
,,,,,,,8849812401,8849812401,,,71512,Unfound
,,,,,,,9318877109,9318877109,,,34801,Unfound
,,,,,,,21712603,21712603,,,13130,Unfound
,,,,,,,2509965006,2509965006,,,1,Unfound
,,,,,,,13118808,13118808,,,337822,Unfound
,,,,,,,3228237202,3228237202,,,24903,Unfound
,,,,,,,69420206,69420206,,,354289,Unfound
,,,,,,,8823162704,8823162704,,,8823162704,Unfound
,,,,,,,50080201,50080201,,,1021,Unfound
,,,,,,,2247903605,2247903605,,,20932,Unfound
,,,,,,,64647602,64647602,,,160403,Unfound
,,,,,,,9105562901,9105562901,,,25460,Unfound
,,,,,,,15911-0367,15911-0367,,,,Unfound
,,,,,,,49490608,49490608,,,372954,Unfound
,,,,,,,1610002-56,1610002-56,,,,Unfound
,,,,,,,3906629707,3906629707,,,3906629707,Unfound
,,,,,,,59291406,59291406,,,57114,Unfound
,,,,,,,8821258808,8821258808,,,366734,Unfound
,,,,,,,1463083703,1463083703,,,38,Unfound
,,,,,,,53927103,53927103,,,265183,Unfound
,,,,,,,8851272708,8851272708,,,844,Unfound
,,,,,,,2355686,2355686,,,2355686,Unfound
,,,,,,,21789201,21789201,,,106494,Unfound
,,,,,,,14516500,14516500,,,141760,Unfound
,,,,,,,8816776805,8816776805,,,210938,Unfound
,,,,,,,8860453006,8860453006,,,16240,Unfound
,,,,,,,14505405,14505405,,,16054,Unfound
,,,,,,,3103121003,3103121003,,,46697,Unfound
,,,,,,,120003-388,120003-388,,,,Unfound
,,,,,,,1918760200,1918760200,,,33704,Unfound
,,,,,,,1452458002,1452458002,,,17740,Unfound
,,,,,,,15019502,15019502,,,108689,Unfound
,,,,,,,14171402,14171402,,,161519,Unfound
,,,,,,,3211787308,3211787308,,,39948,Unfound
,,,,,,,14850108,14850108,,,54103,Unfound
,,,,,,,23800015-0,23800015-0,,,,Unfound
,,,,,,,59450804,59450804,,,149128,Unfound
,,,,,,,46953607,46953607,,,1,Unfound
,,,,,,,3020153702,3020153702,,,13156,Unfound
,,,,,,,1324613904,1324613904,,,47013,Unfound
,,,,,,,146000-624,146000-624,,,,Unfound
,,,,,,,8869865401,8869865401,,,11770,Unfound
,,,,,,,3359211405,3359211405,,,11153,Unfound
,,,,,,,567168405,567168405,,,8845,Unfound
,,,,,,,2548022610,2548022610,,,9625,Unfound
,,,,,,,21790208,21790208,,,1461,Unfound
,,,,,,,4244893809,4244893809,,,29861,Unfound
,,,,,,,17744607,17744607,,,2865,Unfound
,,,,,,,9334608500,9334608500,,,110650,Unfound
,,,,,,,53487606,53487606,,,131047,Unfound
,,,,,,,2178407104,2178407104,,,55149,Unfound
,,,,,,,4032495710,4032495710,,,22226,Unfound
,,,,,,,66381106,66381106,,,191156,Unfound
,,,,,,,8821255409,8821255409,,,46022,Unfound
,,,,,,,2411861109,2411861109,,,2411861109,Unfound
,,,,,,,1900045129271,,,,,Unfound
,,,,,,,1800019249388,,,,,Unfound
,,,,,,,1591000200168,,,,,Unfound
,,,,,,,8816422803,,,,8816422803,Unfound
,,,,,,,12481407,,,,12481407,Unfound
,,,,,,,1012820456222,,,,,Unfound
,,,,,,,8874042606,,,,8874042606,Unfound
,,,,,,,1100011414398,,,,,Unfound
,,,,,,,2200041882755,,,,,Unfound
,,,,,,,1418818631007,,,,,Unfound
,,,,,,,1200030617033,,,,,Unfound
,,,,,,,1550805903,,,,1550805903,Unfound
,,,,,,,71237001,,,,93016,Unfound
,,,,,,,82721208,,,,82721208,Unfound
,,,,,,,3045012306,,,,3045012306,Unfound
,,,,,,,1591057946668,,,,,Unfound
,,,,,,,1900046289107,,,,,Unfound
,,,,,,,2380000238967,,,,,Unfound
,,,,,,,47623108,,,,1,Unfound
,,,,,,,2000012421998,,,,,Unfound
,,,,,,,2370863640510,,,,,Unfound
,,,,,,,1200024971189,,,,,Unfound
,,,,,,,1800031363163,,,,,Unfound
,,,,,,,1591042510292,,,,,Unfound
,,,,,,,2000000968450,,,,,Unfound
,,,,,,,1900018156211,,,,,Unfound
,,,,,,,1610002954172,,,,,Unfound
