Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,8828169901,8828169901,,,69861,Unfound
,,,,,,,8817129406,8817129406,,,23608,Unfound
,,,,,,,8829287609,8829287609,,,1,Unfound
,,,,,,,8817197805,8817197805,,,48321,Unfound
,,,,,,,8817283809,8817283809,,,109491,Unfound
,,,,,,,9186866100,9186866100,,,9186866100,Unfound
,,,,,,,8817256301,,,,,Unfound
,,,,,,,8830413301,8830413301,,,185111,Unfound
,,,,,,,9157794110,9157794110,,,3089,Unfound
,,,,,,,7557717407,7557717407,,,490161,Unfound
,,,,,,,9297359101,9297359101,,,34737,Unfound
,,,,,,,9131223809,9131223809,,,82372,Unfound
,,,,,,,7676433901,7676433901,,,68377,Unfound
,,,,,,,8842049805,8842049805,,,63058,Unfound
,,,,,,,8842653910,8842653910,,,84,Unfound
,,,,,,,8842702100,8842702100,,,81345,Unfound
,,,,,,,9304279601,9304279601,,,125699,Unfound
,,,,,,,9151790610,9151790610,,,2966,Unfound
,,,,,,,8835754510,8835754510,,,10876,Unfound
,,,,,,,9152396005,9152396005,,,1,Unfound
,,,,,,,5017601008,5017601008,,,3037,Unfound
,,,,,,,9090836306,,,,,Unfound
,,,,,,,9152567803,9152567803,,,67617,Unfound
,,,,,,,5019625302,5019625302,,,14043,Unfound
,,,,,,,8836177009,8836177009,,,141277,Unfound
,,,,,,,9152714902,9152714902,,,1,Unfound
,,,,,,,8836422804,8836422804,,,69982,Unfound
,,,,,,,9152964701,9152964701,,,31973,Unfound
,,,,,,,9153258110,9153258110,,,11565,Unfound
,,,,,,,5022908307,5022908307,,,35801,Unfound
,,,,,,,9153365201,9153365201,,,27828,Unfound
,,,,,,,4260124910,4260124910,,,9358,Unfound
,,,,,,,1013060264575,,,,,Unfound
,,,,,,,8838234802,8838234802,,,2308,Unfound
,,,,,,,9153859406,9153859406,,,9153859406,Unfound
,,,,,,,9302948810,9302948810,,,129993,Unfound
,,,,,,,9307249304,9307249304,,,17870,Unfound
,,,,,,,9303050507,9303050507,,,11212,Unfound
,,,,,,,9308500908,9308500908,,,62011,Unfound
,,,,,,,8450568101,8450568101,,,61467,Unfound
,,,,,,,9141154710,9141154710,,,1,Unfound
,,,,,,,9308388402,,,,,Unfound
,,,,,,,8896132910,,,,,Unfound
,,,,,,,8451397307,8451397307,,,8864,Unfound
,,,,,,,9144356801,9144356801,,,9144356801,Unfound
,,,,,,,8921859101,8921859101,,,1,Unfound
,,,,,,,8812902505,8812902505,,,111099,Unfound
,,,,,,,9146319405,9146319405,,,9146319405,Unfound
,,,,,,,8833957402,8833957402,,,59465,Unfound
,,,,,,,8813035803,8813035803,,,31708,Unfound
,,,,,,,8922614805,8922614805,,,17,Unfound
,,,,,,,8922757401,8922757401,,,6356,Unfound
,,,,,,,1550599500,1550599500,,,63020,Unfound
,,,,,,,9158289506,9158289506,,,14825,Unfound
,,,,,,,2515494203,2515494203,,,1581,Unfound
,,,,,,,8825891806,8825891806,,,8825891806,Unfound
,,,,,,,9158291403,9158291403,,,3637,Unfound
,,,,,,,8814112407,8814112407,,,39345,Unfound
,,,,,,,8912408706,8912408706,,,189341,Unfound
,,,,,,,9218003601,9218003601,,,152149,Unfound
,,,,,,,9218011106,9218011106,,,31469,Unfound
,,,,,,,8912528301,8912528301,,,28226,Unfound
,,,,,,,5074124302,5074124302,,,19999,Unfound
,,,,,,,8814128501,8814128501,,,104547,Unfound
,,,,,,,56909902,56909902,,,185679,Unfound
,,,,,,,5076313910,5076313910,,,25834,Unfound
,,,,,,,5076484601,5076484601,,,18761,Unfound
,,,,,,,55693709,55693709,,,39178,Unfound
,,,,,,,8814188003,8814188003,,,90586,Unfound
,,,,,,,5077218910,5077218910,,,1435,Unfound
,,,,,,,5077568500,5077568500,,,161446,Unfound
,,,,,,,8896963000,8896963000,,,38647,Unfound
,,,,,,,5078997405,5078997405,,,4591,Unfound
,,,,,,,8914491505,8914491505,,,37043,Unfound
,,,,,,,59719710,59719710,,,53354,Unfound
,,,,,,,8814509401,8814509401,,,25695,Unfound
,,,,,,,9220700308,9220700308,,,1,Unfound
,,,,,,,8814537608,8814537608,,,43397,Unfound
,,,,,,,5082822704,5082822704,,,69554,Unfound
,,,,,,,9209262804,9209262804,,,17457,Unfound
,,,,,,,8824628303,8824628303,,,128370,Unfound
,,,,,,,5040619807,5040619807,,,95133,Unfound
,,,,,,,1666280903,1666280903,,,26219,Unfound
,,,,,,,9180609801,9180609801,,,821593,Unfound
,,,,,,,5043920909,5043920909,,,9695,Unfound
,,,,,,,8825324400,8825324400,,,39865,Unfound
,,,,,,,8917491105,8917491105,,,303955,Unfound
,,,,,,,1673158100,1673158100,,,9433,Unfound
,,,,,,,8825464304,8825464304,,,10130,Unfound
,,,,,,,8825730310,8825730310,,,8035,Unfound
,,,,,,,1691354809,1691354809,,,138967,Unfound
,,,,,,,2200023433040,,,,,Unfound
,,,,,,,8901937206,8901937206,,,516960,Unfound
,,,,,,,8902430210,8902430210,,,48487,Unfound
,,,,,,,4229140503,4229140503,,,13529,Unfound
,,,,,,,3019321602,3019321602,,,3115,Unfound
,,,,,,,8904016109,8904016109,,,200461,Unfound
,,,,,,,8815481006,8815481006,,,178822,Unfound
,,,,,,,53885405,53885405,,,2192,Unfound
,,,,,,,556842909,556842909,,,28858,Unfound
,,,,,,,8815512204,8815512204,,,8815512204,Unfound
,,,,,,,8813111703,8813111703,,,4056,Unfound
,,,,,,,8813146004,8813146004,,,23354,Unfound
,,,,,,,7473368707,7473368707,,,16453,Unfound
,,,,,,,8911712704,8911712704,,,1,Unfound
,,,,,,,8824472208,8824472208,,,230,Unfound
,,,,,,,8906744209,8906744209,,,9399,Unfound
,,,,,,,5040075602,5040075602,,,27244,Unfound
,,,,,,,5060105507,5060105507,,,28882,Unfound
,,,,,,,1906189700,1906189700,,,16294,Unfound
,,,,,,,2140351504,2140351504,,,59926,Unfound
,,,,,,,9209792407,9209792407,,,1,Unfound
,,,,,,,5053325003,5053325003,,,8465,Unfound
,,,,,,,5053868704,5053868704,,,12794,Unfound
,,,,,,,8930330001,8930330001,,,55475,Unfound
,,,,,,,5057648104,5057648104,,,1,Unfound
,,,,,,,8908471502,8908471502,,,2976,Unfound
,,,,,,,9212770906,9212770906,,,173798,Unfound
,,,,,,,8909369606,8909369606,,,30287,Unfound
,,,,,,,8909393008,8909393008,,,1,Unfound
,,,,,,,9109544302,9109544302,,,1,Unfound
,,,,,,,9202952401,9202952401,,,88958,Unfound
,,,,,,,8821181608,8821181608,,,1,Unfound
,,,,,,,4190472507,4190472507,,,88437,Unfound
,,,,,,,9125119402,9125119402,,,1,Unfound
,,,,,,,9154061208,9154061208,,,159562,Unfound
,,,,,,,9204378708,9204378708,,,26775,Unfound
,,,,,,,4195094403,4195094403,,,25381,Unfound
,,,,,,,8906011502,8906011502,,,76718,Unfound
,,,,,,,77365108,77365108,,,1,Unfound
,,,,,,,9206095706,9206095706,,,109,Unfound
,,,,,,,4196022506,4196022506,,,37211,Unfound
,,,,,,,9167398007,9167398007,,,31907,Unfound
,,,,,,,9206688700,9206688700,,,30140,Unfound
,,,,,,,9114942710,,,,,Unfound
,,,,,,,8815695800,8815695800,,,1,Unfound
,,,,,,,9117221105,9117221105,,,7374,Unfound
,,,,,,,8815747400,8815747400,,,22259,Unfound
,,,,,,,8815201905,8815201905,,,71838,Unfound
,,,,,,,8815203606,8815203606,,,35444,Unfound
,,,,,,,9215181610,9215181610,,,90730,Unfound
,,,,,,,9118024108,9118024108,,,123198,Unfound
,,,,,,,78770100,78770100,,,63630,Unfound
,,,,,,,9135071103,9135071103,,,1,Unfound
,,,,,,,9118742902,9118742902,,,13093,Unfound
,,,,,,,9201508406,9201508406,,,9201508406,Unfound
,,,,,,,9125926802,9125926802,,,232918,Unfound
,,,,,,,8900580208,8900580208,,,20678,Unfound
,,,,,,,8900893308,8900893308,,,1,Unfound
,,,,,,,9138063501,9138063501,,,13781,Unfound
,,,,,,,8815389703,8815389703,,,79546,Unfound
,,,,,,,9183792003,9183792003,,,80908,Unfound
,,,,,,,8901243307,8901243307,,,26052,Unfound
,,,,,,,8815420906,8815420906,,,144270,Unfound
,,,,,,,8815783303,8815783303,,,30475,Unfound
,,,,,,,9116059005,9116059005,,,11855,Unfound
,,,,,,,9188160103,9188160103,,,4920,Unfound
,,,,,,,80033945,80033945,,,80033945,Unfound
,,,,,,,9116447205,9116447205,,,1217,Unfound
,,,,,,,9184082403,9184082403,,,182158,Unfound
,,,,,,,9313740000,9313740000,,,12320,Unfound
,,,,,,,8815033102,8815033102,,,57497,Unfound
,,,,,,,9155261008,9155261008,,,84510,Unfound
,,,,,,,1012649316908,,,,,Unfound
,,,,,,,8871407403,,,,8871407403,Unfound
,,,,,,,5060610004,,,,5060610004,Unfound
,,,,,,,1100003705857,,,,,Unfound
,,,,,,,2000000672453,,,,,Unfound
,,,,,,,1200042619173,,,,,Unfound
,,,,,,,1012345960240,,,,,Unfound
,,,,,,,9090822407,,,,4469,Unfound
,,,,,,,1200042498800,,,,,Unfound
,,,,,,,1100021469970,,,,,Unfound
,,,,,,,1012647589837,,,,,Unfound
,,,,,,,2000000580591,,,,,Unfound
,,,,,,,1012353542650,,,,,Unfound
,,,,,,,8819536508,,,,8819536508,Unfound
,,,,,,,1100003717356,,,,,Unfound
,,,,,,,5060937609,,,,5060937609,Unfound
,,,,,,,9158466906,,,,9158466906,Unfound
,,,,,,,1012650891710,,,,,Unfound
,,,,,,,1100021524948,,,,,Unfound
,,,,,,,1100003769665,,,,,Unfound
,,,,,,,8819559307,,,,8819559307,Unfound
,,,,,,,8871495202,,,,8871495202,Unfound
,,,,,,,1100021653591,,,,,Unfound
,,,,,,,1200050076709,,,,,Unfound
,,,,,,,1012653501989,,,,,Unfound
,,,,,,,2000001251635,,,,,Unfound
,,,,,,,1012365511855,,,,,Unfound
,,,,,,,1100003874546,,,,,Unfound
,,,,,,,1100021653607,,,,,Unfound
,,,,,,,1012658484478,,,,,Unfound
,,,,,,,1200050309074,,,,,Unfound
,,,,,,,2000001405687,,,,,Unfound
,,,,,,,1012365579019,,,,,Unfound
,,,,,,,1100003892712,,,,,Unfound
,,,,,,,5061951900,,,,5061951900,Unfound
,,,,,,,1100004197512,,,,,Unfound
,,,,,,,1012688458762,,,,,Unfound
,,,,,,,2000001416155,,,,,Unfound
,,,,,,,1012367676150,,,,,Unfound
,,,,,,,1100021686072,,,,,Unfound
,,,,,,,9090863803,,,,1,Unfound
,,,,,,,1012690235976,,,,,Unfound
,,,,,,,1012371415722,,,,,Unfound
,,,,,,,1100004336201,,,,,Unfound
,,,,,,,1200050383360,,,,,Unfound
,,,,,,,2000001754860,,,,,Unfound
,,,,,,,8871955401,,,,8871955401,Unfound
,,,,,,,9158489110,,,,9158489110,Unfound
,,,,,,,1100021689988,,,,,Unfound
,,,,,,,1200050511721,,,,,Unfound
,,,,,,,1012690306581,,,,,Unfound
,,,,,,,1012372530996,,,,,Unfound
,,,,,,,1100004396664,,,,,Unfound
,,,,,,,5062074409,,,,5062074409,Unfound
,,,,,,,8819686707,,,,8819686707,Unfound
,,,,,,,8927569706,,,,8927569706,Unfound
,,,,,,,8871958003,,,,8871958003,Unfound
,,,,,,,1012690704029,,,,,Unfound
,,,,,,,1012373605320,,,,,Unfound
,,,,,,,2000002208064,,,,,Unfound
,,,,,,,1200050570806,,,,,Unfound
,,,,,,,1100004699594,,,,,Unfound
,,,,,,,9213026408,,,,9213026408,Unfound
,,,,,,,1100023545053,,,,,Unfound
,,,,,,,1200050595420,,,,,Unfound
,,,,,,,1012690778085,,,,,Unfound
,,,,,,,2000002287145,,,,,Unfound
,,,,,,,1012373660065,,,,,Unfound
,,,,,,,5062623607,,,,9424,Unfound
,,,,,,,1100004800740,,,,,Unfound
,,,,,,,8819762304,,,,8819762304,Unfound
,,,,,,,8872123607,,,,8872123607,Unfound
,,,,,,,1100023777883,,,,,Unfound
,,,,,,,1200050637512,,,,,Unfound
,,,,,,,1012699868602,,,,,Unfound
,,,,,,,1100004800768,,,,,Unfound
,,,,,,,2000002389316,,,,,Unfound
,,,,,,,1012380943018,,,,,Unfound
,,,,,,,8872148006,,,,8872148006,Unfound
,,,,,,,8819823208,,,,8819823208,Unfound
,,,,,,,5063095007,,,,5063095007,Unfound
,,,,,,,1100024586014,,,,,Unfound
,,,,,,,1200050724991,,,,,Unfound
,,,,,,,1012704862590,,,,,Unfound
,,,,,,,2000002418507,,,,,Unfound
,,,,,,,1012381380012,,,,,Unfound
,,,,,,,1100005026223,,,,,Unfound
,,,,,,,8819832703,,,,8819832703,Unfound
,,,,,,,8872181206,,,,8872181206,Unfound
,,,,,,,1100024916280,,,,,Unfound
,,,,,,,565941407,,,,565941407,Unfound
,,,,,,,2000002548970,,,,,Unfound
,,,,,,,1012705881725,,,,,Unfound
,,,,,,,1012386076387,,,,,Unfound
,,,,,,,1100005078899,,,,,Unfound
,,,,,,,5064168305,,,,5064168305,Unfound
,,,,,,,8819837702,,,,,Unfound
,,,,,,,8872287604,,,,8872287604,Unfound
,,,,,,,8927601709,,,,8927601709,Unfound
,,,,,,,1100024987193,,,,,Unfound
,,,,,,,2000002781330,,,,,Unfound
,,,,,,,1012705995803,,,,,Unfound
,,,,,,,1200050820511,,,,,Unfound
,,,,,,,1012389575607,,,,,Unfound
,,,,,,,1100005273077,,,,,Unfound
,,,,,,,8819845510,,,,8819845510,Unfound
,,,,,,,8872331109,,,,8872331109,Unfound
,,,,,,,9091185004,,,,9091185004,Unfound
,,,,,,,1100025005343,,,,,Unfound
,,,,,,,9213036310,,,,9213036310,Unfound
,,,,,,,1012708146073,,,,,Unfound
,,,,,,,1012398324572,,,,,Unfound
,,,,,,,1100005276468,,,,,Unfound
,,,,,,,8872336209,,,,8872336209,Unfound
,,,,,,,9091188302,,,,9091188302,Unfound
