Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,1494614614,1494614614,,,1494614614,Unfound
,,,,,,,1217432273,1217432273,,,1217432273,Unfound
,,,,,,,1159819634,1159819634,,,1159819634,Unfound
,,,,,,,1963351313,1963351313,,,1963351313,Unfound
,,,,,,,1949842858,1949842858,,,1949842858,Unfound
,,,,,,,1159204697,1159204697,,,1159204697,Unfound
,,,,,,,1100005859016,,,,,Unfound
,,,,,,,1482461915,1482461915,,,1482461915,Unfound
,,,,,,,93012403,93012403,,,106045,Unfound
,,,,,,,1752423640,1752423640,,,1752423640,Unfound
,,,,,,,1934724809,1934724809,,,1934724809,Unfound
,,,,,,,1647433170,1647433170,,,1647433170,Unfound
,,,,,,,7827966197,7827966197,,,7827966197,Unfound
,,,,,,,1934710318,1934710318,,,1934710318,Unfound
,,,,,,,1823326694,1823326694,,,1823326694,Unfound
,,,,,,,1752690133,1752690133,,,1752690133,Unfound
,,,,,,,1752343280,1752343280,,,1752343280,Unfound
,,,,,,,1412665131007,,,,,Unfound
,,,,,,,1598753634,1598753634,,,1598753634,Unfound
,,,,,,,1458831330,1458831330,,,1458831330,Unfound
,,,,,,,1215654848,,,,,Unfound
,,,,,,,1272518003,1272518003,,,298101,Unfound
,,,,,,,3295105605,3295105605,,,11409,Unfound
,,,,,,,52832109,,,,,Unfound
,,,,,,,4186479209,4186479209,,,1,Unfound
,,,,,,,2729990503,2729990503,,,99047,Unfound
,,,,,,,63953209,63953209,,,63953209,Unfound
,,,,,,,3913724602,,,,,Unfound
,,,,,,,1454633711,1454633711,,,1454633711,Unfound
,,,,,,,1452530336,1452530336,,,1452530336,Unfound
,,,,,,,1392217322,1392217322,,,1392217322,Unfound
,,,,,,,7588763880,7588763880,,,7588763880,Unfound
,,,,,,,73874906,,,,,Unfound
,,,,,,,1159500550,1159500550,,,1159500550,Unfound
,,,,,,,1905453300,1905453300,,,1905453300,Unfound
,,,,,,,1159204008,1159204008,,,1159204008,Unfound
,,,,,,,1773810464,1773810464,,,1773810464,Unfound
,,,,,,,1159168880,1159168880,,,1159168880,Unfound
,,,,,,,1159752355,1159752355,,,1159752355,Unfound
,,,,,,,1522691166,1522691166,,,1522691166,Unfound
,,,,,,,1604948185,1604948185,,,1604948185,Unfound
,,,,,,,1158222226,1158222226,,,1158222226,Unfound
,,,,,,,2083951112,2083951112,,,2083951112,Unfound
,,,,,,,1959570766,1959570766,,,1959570766,Unfound
,,,,,,,1159781569,1159781569,,,1159781569,Unfound
,,,,,,,59529907,,,,,Unfound
,,,,,,,7930757888,7930757888,,,7930757888,Unfound
,,,,,,,2088570666,2088570666,,,2088570666,Unfound
,,,,,,,1522513366,1522513366,,,1522513366,Unfound
,,,,,,,1295713805,1295713805,,,1295713805,Unfound
,,,,,,,1226756521,1226756521,,,1226756521,Unfound
,,,,,,,1159818618,1159818618,,,1159818618,Unfound
,,,,,,,1159797588,1159797588,,,1159797588,Unfound
,,,,,,,1159677589,1159677589,,,1159677589,Unfound
,,,,,,,1159632184,1159632184,,,1159632184,Unfound
,,,,,,,1159865290,1159865290,,,1159865290,Unfound
,,,,,,,1522560460,1522560460,,,1522560460,Unfound
,,,,,,,7813072823,7813072823,,,7813072823,Unfound
,,,,,,,1902491222,1902491222,,,1902491222,Unfound
,,,,,,,7970762486,7970762486,,,7970762486,Unfound
,,,,,,,1623628412,1623628412,,,1623628412,Unfound
,,,,,,,1213268881,1213268881,,,1213268881,Unfound
,,,,,,,7720772192,7720772192,,,7720772192,Unfound
,,,,,,,1452865235,1452865235,,,1452865235,Unfound
,,,,,,,1217223883,1217223883,,,1217223883,Unfound
,,,,,,,1217444270,1217444270,,,1217444270,Unfound
,,,,,,,1535640860,1535640860,,,1535640860,Unfound
,,,,,,,1159320284,1159320284,,,1159320284,Unfound
,,,,,,,1527832530,1527832530,,,1527832530,Unfound
,,,,,,,1213547167,1213547167,,,1213547167,Unfound
,,,,,,,1642244766,1642244766,,,1642244766,Unfound
,,,,,,,1250884203,1250884203,,,1250884203,Unfound
,,,,,,,3402852407,3402852407,,,6662,Unfound
,,,,,,,1623633535,1623633535,,,1623633535,Unfound
,,,,,,,9154902700,9154902700,,,10694,Unfound
,,,,,,,1158411154,1158411154,,,1158411154,Unfound
,,,,,,,2226382406,,,,,Unfound
,,,,,,,8702910010,8702910010,,,8702910010,Unfound
,,,,,,,7887508735,7887508735,,,7887508735,Unfound
,,,,,,,7591392143,7591392143,,,7591392143,Unfound
,,,,,,,7470483664,7470483664,,,7470483664,Unfound
,,,,,,,2736138807,,,,,Unfound
,,,,,,,2476994452,2476994452,,,2476994452,Unfound
,,,,,,,2476992760,2476992760,,,2476992760,Unfound
,,,,,,,2085002222,2085002222,,,2085002222,Unfound
,,,,,,,1754610300,1754610300,,,1754610300,Unfound
,,,,,,,1623660393,1623660393,,,1623660393,Unfound
,,,,,,,1100007670756,,,,,Unfound
,,,,,,,1538308439,1538308439,,,1538308439,Unfound
,,,,,,,1415522777,1415522777,,,1415522777,Unfound
,,,,,,,1384565394,1384565394,,,1384565394,Unfound
,,,,,,,9209435102,9209435102,,,22790,Unfound
,,,,,,,1253522922,1253522922,,,1253522922,Unfound
,,,,,,,1246830251,1246830251,,,1246830251,Unfound
,,,,,,,1246232499,1246232499,,,1246232499,Unfound
,,,,,,,1159819651,1159819651,,,1159819651,Unfound
,,,,,,,1159762391,1159762391,,,1159762391,Unfound
,,,,,,,1159598933,1159598933,,,1159598933,Unfound
,,,,,,,1159490977,1159490977,,,1159490977,Unfound
,,,,,,,1159401014,1159401014,,,1159401014,Unfound
,,,,,,,1158242323,1158242323,,,1158242323,Unfound
,,,,,,,1604604040,1604604040,,,1604604040,Unfound
,,,,,,,1428476100003,,,,,Unfound
,,,,,,,1384457126,1384457126,,,1384457126,Unfound
,,,,,,,1236434033,1236434033,,,1236434033,Unfound
,,,,,,,1242226800,1242226800,,,1242226800,Unfound
,,,,,,,9212663310,,,,,Unfound
,,,,,,,1213660428,1213660428,,,1213660428,Unfound
,,,,,,,1625366300,1625366300,,,28037,Unfound
,,,,,,,1214782263,1214782263,,,1214782263,Unfound
,,,,,,,75135406,,,,,Unfound
,,,,,,,1242510517,1242510517,,,1242510517,Unfound
,,,,,,,1215235755,1215235755,,,1215235755,Unfound
,,,,,,,1902367036,1902367036,,,1902367036,Unfound
,,,,,,,68725706,,,,,Unfound
,,,,,,,1803313656,1803313656,,,1803313656,Unfound
,,,,,,,1100006671800,,,,,Unfound
,,,,,,,1643708222,1643708222,,,1643708222,Unfound
,,,,,,,1409271111,1409271111,,,1409271111,Unfound
,,,,,,,2962337309,2962337309,,,1,Unfound
,,,,,,,1398324395,1398324395,,,1398324395,Unfound
,,,,,,,1271863888,1271863888,,,1271863888,Unfound
,,,,,,,1100020955009,,,,,Unfound
,,,,,,,1271328631,1271328631,,,1271328631,Unfound
